ProductKey,ProductSubcategoryKey,Product,Color,Model,Subcategory,Category,,,,,,
226,21,"Long-Sleeve Logo Jersey, S",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
227,21,"Long-Sleeve Logo Jersey, S",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
228,21,"Long-Sleeve Logo Jersey, S",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
229,21,"Long-Sleeve Logo Jersey, M",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
230,21,"Long-Sleeve Logo Jersey, M",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
231,21,"Long-Sleeve Logo Jersey, M",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
232,21,"Long-Sleeve Logo Jersey, L",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
233,21,"Long-Sleeve Logo Jersey, L",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
234,21,"Long-Sleeve Logo Jersey, L",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
235,21,"Long-Sleeve Logo Jersey, XL",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
236,21,"Long-Sleeve Logo Jersey, XL",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
237,21,"Long-Sleeve Logo Jersey, XL",Multi,Long-Sleeve Logo Jersey,Jerseys,Clothing,,,,,,
391,10,LL Fork,NA,LL Fork,Forks,Components,,,,,,
392,10,ML Fork,NA,ML Fork,Forks,Components,,,,,,
393,10,HL Fork,NA,HL Fork,Forks,Components,,,,,,
397,4,LL Mountain Handlebars,NA,LL Mountain Handlebars,Handlebars,Components,,,,,,
398,4,LL Mountain Handlebars,NA,LL Mountain Handlebars,Handlebars,Components,,,,,,
410,17,LL Mountain Front Wheel,Black,LL Mountain Front Wheel,Wheels,Components,,,,,,
411,17,ML Mountain Front Wheel,Black,ML Mountain Front Wheel,Wheels,Components,,,,,,
412,17,HL Mountain Front Wheel,Black,HL Mountain Front Wheel,Wheels,Components,,,,,,
416,17,Touring Front Wheel,Black,Touring Front Wheel,Wheels,Components,,,,,,
419,17,LL Mountain Rear Wheel,Black,LL Mountain Rear Wheel,Wheels,Components,,,,,,
420,17,ML Mountain Rear Wheel,Black,ML Mountain Rear Wheel,Wheels,Components,,,,,,
421,17,HL Mountain Rear Wheel,Black,HL Mountain Rear Wheel,Wheels,Components,,,,,,
425,17,Touring Rear Wheel,Black,Touring Rear Wheel,Wheels,Components,,,,,,
445,22,"Men's Sports Shorts, S",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
447,34,Cable Lock,NA,Cable Lock,Locks,Accessories,,,,,,
448,36,Minipump,NA,Minipump,Pumps,Accessories,,,,,,
449,36,Mountain Pump,NA,Mountain Pump,Pumps,Accessories,,,,,,
450,33,Taillights - Battery-Powered,NA,Taillight,Lights,Accessories,,,,,,
451,33,Headlights - Dual-Beam,NA,Headlights - Dual-Beam,Lights,Accessories,,,,,,
452,33,Headlights - Weatherproof,NA,Headlights - Weatherproof,Lights,Accessories,,,,,,
453,22,"Men's Sports Shorts, M",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
454,22,"Men's Sports Shorts, L",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
455,22,"Men's Sports Shorts, XL",Black,Men's Sports Shorts,Shorts,Clothing,,,,,,
474,22,"Women's Mountain Shorts, S",Black,Women's Mountain Shorts,Shorts,Clothing,,,,,,
475,22,"Women's Mountain Shorts, M",Black,Women's Mountain Shorts,Shorts,Clothing,,,,,,
476,22,"Women's Mountain Shorts, L",Black,Women's Mountain Shorts,Shorts,Clothing,,,,,,
477,28,Water Bottle - 30 oz.,NA,Water Bottle,Bottles and Cages,Accessories,,,,,,
479,28,Road Bottle Cage,NA,Road Bottle Cage,Bottles and Cages,Accessories,,,,,,
480,37,Patch Kit/8 Patches,NA,Patch kit,Tires and Tubes,Accessories,,,,,,
488,21,"Short-Sleeve Classic Jersey, S",Yellow,Short-Sleeve Classic Jersey,Jerseys,Clothing,,,,,,
489,21,"Short-Sleeve Classic Jersey, M",Yellow,Short-Sleeve Classic Jersey,Jerseys,Clothing,,,,,,
490,21,"Short-Sleeve Classic Jersey, L",Yellow,Short-Sleeve Classic Jersey,Jerseys,Clothing,,,,,,
491,21,"Short-Sleeve Classic Jersey, XL",Yellow,Short-Sleeve Classic Jersey,Jerseys,Clothing,,,,,,
515,15,LL Mountain Seat/Saddle,NA,LL Mountain Seat/Saddle 2,Saddles,Components,,,,,,
530,37,Touring Tire Tube,NA,Touring Tire Tube,Tires and Tubes,Accessories,,,,,,
537,37,HL Mountain Tire,NA,HL Mountain Tire,Tires and Tubes,Accessories,,,,,,
540,37,HL Road Tire,NA,HL Road Tire,Tires and Tubes,Accessories,,,,,,
548,13,Touring Pedal,Silver/Black,Touring Pedal,Pedals,Components,,,,,,
559,7,Chain,Silver,Chain,Chains,Components,,,,,,
212,31,"Sport-100 Helmet, Red",Red,Sport-100,Helmets,Accessories,,,,,,
213,31,"Sport-100 Helmet, Red",Red,Sport-100,Helmets,Accessories,,,,,,
214,31,"Sport-100 Helmet, Red",Red,Sport-100,Helmets,Accessories,,,,,,
215,31,"Sport-100 Helmet, Black",Black,Sport-100,Helmets,Accessories,,,,,,
216,31,"Sport-100 Helmet, Black",Black,Sport-100,Helmets,Accessories,,,,,,
217,31,"Sport-100 Helmet, Black",Black,Sport-100,Helmets,Accessories,,,,,,
218,23,"Mountain Bike Socks, M",White,Mountain Bike Socks,Socks,Clothing,,,,,,
219,23,"Mountain Bike Socks, L",White,Mountain Bike Socks,Socks,Clothing,,,,,,
220,31,"Sport-100 Helmet, Blue",Blue,Sport-100,Helmets,Accessories,,,,,,
221,31,"Sport-100 Helmet, Blue",Blue,Sport-100,Helmets,Accessories,,,,,,
222,31,"Sport-100 Helmet, Blue",Blue,Sport-100,Helmets,Accessories,,,,,,
223,19,AWC Logo Cap,Multi,Cycling Cap,Caps,Clothing,,,,,,
224,19,AWC Logo Cap,Multi,Cycling Cap,Caps,Clothing,,,,,,
225,19,AWC Logo Cap,Multi,Cycling Cap,Caps,Clothing,,,,,,
394,11,LL Headset,NA,LL Headset,Headsets,Components,,,,,,
395,11,ML Headset,NA,ML Headset,Headsets,Components,,,,,,
396,11,HL Headset,NA,HL Headset,Headsets,Components,,,,,,
399,4,ML Mountain Handlebars,NA,ML Mountain Handlebars,Handlebars,Components,,,,,,
400,4,ML Mountain Handlebars,NA,ML Mountain Handlebars,Handlebars,Components,,,,,,
401,4,HL Mountain Handlebars,NA,HL Mountain Handlebars,Handlebars,Components,,,,,,
402,4,HL Mountain Handlebars,NA,HL Mountain Handlebars,Handlebars,Components,,,,,,
403,4,LL Road Handlebars,NA,LL Road Handlebars,Handlebars,Components,,,,,,
404,4,LL Road Handlebars,NA,LL Road Handlebars,Handlebars,Components,,,,,,
405,4,ML Road Handlebars,NA,ML Road Handlebars,Handlebars,Components,,,,,,
406,4,ML Road Handlebars,NA,ML Road Handlebars,Handlebars,Components,,,,,,
407,4,HL Road Handlebars,NA,HL Road Handlebars,Handlebars,Components,,,,,,
408,4,HL Road Handlebars,NA,HL Road Handlebars,Handlebars,Components,,,,,,
446,35,"Touring-Panniers, Large",Grey,Touring-Panniers,Panniers,Accessories,,,,,,
456,24,"Women's Tights, S",Black,Women's Tights,Tights,Clothing,,,,,,
457,24,"Women's Tights, M",Black,Women's Tights,Tights,Clothing,,,,,,
458,24,"Women's Tights, L",Black,Women's Tights,Tights,Clothing,,,,,,
459,18,"Men's Bib-Shorts, S",Multi,Men's Bib-Shorts,Bib-Shorts,Clothing,,,,,,
460,18,"Men's Bib-Shorts, M",Multi,Men's Bib-Shorts,Bib-Shorts,Clothing,,,,,,
461,18,"Men's Bib-Shorts, L",Multi,Men's Bib-Shorts,Bib-Shorts,Clothing,,,,,,
462,20,"Half-Finger Gloves, S",Black,Half-Finger Gloves,Gloves,Clothing,,,,,,
463,20,"Half-Finger Gloves, S",Black,Half-Finger Gloves,Gloves,Clothing,,,,,,
464,20,"Half-Finger Gloves, M",Black,Half-Finger Gloves,Gloves,Clothing,,,,,,
465,20,"Half-Finger Gloves, M",Black,Half-Finger Gloves,Gloves,Clothing,,,,,,
466,20,"Half-Finger Gloves, L",Black,Half-Finger Gloves,Gloves,Clothing,,,,,,
467,20,"Half-Finger Gloves, L",Black,Half-Finger Gloves,Gloves,Clothing,,,,,,
468,20,"Full-Finger Gloves, S",Black,Full-Finger Gloves,Gloves,Clothing,,,,,,
469,20,"Full-Finger Gloves, M",Black,Full-Finger Gloves,Gloves,Clothing,,,,,,
470,20,"Full-Finger Gloves, L",Black,Full-Finger Gloves,Gloves,Clothing,,,,,,
471,25,"Classic Vest, S",Blue,Classic Vest,Vests,Clothing,,,,,,
472,25,"Classic Vest, M",Blue,Classic Vest,Vests,Clothing,,,,,,
473,25,"Classic Vest, L",Blue,Classic Vest,Vests,Clothing,,,,,,
478,28,Mountain Bottle Cage,NA,Mountain Bottle Cage,Bottles and Cages,Accessories,,,,,,
481,23,"Racing Socks, M",White,Racing Socks,Socks,Clothing,,,,,,
482,23,"Racing Socks, L",White,Racing Socks,Socks,Clothing,,,,,,
483,26,Hitch Rack - 4-Bike,NA,Hitch Rack - 4-Bike,Bike Racks,Accessories,,,,,,
484,29,Bike Wash - Dissolver,NA,Bike Wash,Cleaners,Accessories,,,,,,
485,30,Fender Set - Mountain,NA,Fender Set - Mountain,Fenders,Accessories,,,,,,
486,27,All-Purpose Bike Stand,NA,All-Purpose Bike Stand,Bike Stands,Accessories,,,,,,
487,32,Hydration Pack - 70 oz.,Silver,Hydration Pack,Hydration Packs,Accessories,,,,,,
516,15,ML Mountain Seat/Saddle,NA,ML Mountain Seat/Saddle 2,Saddles,Components,,,,,,
517,15,HL Mountain Seat/Saddle,NA,HL Mountain Seat/Saddle 2,Saddles,Components,,,,,,
518,15,LL Road Seat/Saddle,NA,LL Road Seat/Saddle 1,Saddles,Components,,,,,,
519,15,ML Road Seat/Saddle,NA,ML Road Seat/Saddle 2,Saddles,Components,,,,,,
520,15,HL Road Seat/Saddle,NA,HL Road Seat/Saddle 2,Saddles,Components,,,,,,
521,15,LL Touring Seat/Saddle,NA,LL Touring Seat/Saddle,Saddles,Components,,,,,,
522,15,ML Touring Seat/Saddle,NA,ML Touring Seat/Saddle,Saddles,Components,,,,,,
523,15,HL Touring Seat/Saddle,NA,HL Touring Seat/Saddle,Saddles,Components,,,,,,
528,37,Mountain Tire Tube,NA,Mountain Tire Tube,Tires and Tubes,Accessories,,,,,,
529,37,Road Tire Tube,NA,Road Tire Tube,Tires and Tubes,Accessories,,,,,,
535,37,LL Mountain Tire,NA,LL Mountain Tire,Tires and Tubes,Accessories,,,,,,
536,37,ML Mountain Tire,NA,ML Mountain Tire,Tires and Tubes,Accessories,,,,,,
538,37,LL Road Tire,NA,LL Road Tire,Tires and Tubes,Accessories,,,,,,
539,37,ML Road Tire,NA,ML Road Tire,Tires and Tubes,Accessories,,,,,,
541,37,Touring Tire,NA,Touring Tire,Tires and Tubes,Accessories,,,,,,
553,4,LL Touring Handlebars,NA,LL Touring Handlebars,Handlebars,Components,,,,,,
554,4,HL Touring Handlebars,NA,HL Touring Handlebars,Handlebars,Components,,,,,,
288,12,"HL Mountain Frame - Silver, 42",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
289,12,"HL Mountain Frame - Silver, 42",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
290,12,"HL Mountain Frame - Silver, 42",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
291,12,"HL Mountain Frame - Silver, 44",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
292,12,"HL Mountain Frame - Silver, 48",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
293,12,"HL Mountain Frame - Silver, 46",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
294,12,"HL Mountain Frame - Silver, 46",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
295,12,"HL Mountain Frame - Silver, 46",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
296,12,"HL Mountain Frame - Black, 42",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
297,12,"HL Mountain Frame - Black, 42",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
298,12,"HL Mountain Frame - Black, 42",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
299,12,"HL Mountain Frame - Black, 44",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
300,12,"HL Mountain Frame - Black, 48",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
301,12,"HL Mountain Frame - Black, 46",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
302,12,"HL Mountain Frame - Black, 46",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
303,12,"HL Mountain Frame - Black, 46",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
304,12,"HL Mountain Frame - Black, 38",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
305,12,"HL Mountain Frame - Black, 38",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
306,12,"HL Mountain Frame - Black, 38",Black,HL Mountain Frame,Mountain Frames,Components,,,,,,
307,12,"HL Mountain Frame - Silver, 38",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
308,12,"HL Mountain Frame - Silver, 38",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
309,12,"HL Mountain Frame - Silver, 38",Silver,HL Mountain Frame,Mountain Frames,Components,,,,,,
413,17,LL Road Front Wheel,Black,LL Road Front Wheel,Wheels,Components,,,,,,
414,17,ML Road Front Wheel,Black,ML Road Front Wheel,Wheels,Components,,,,,,
415,17,HL Road Front Wheel,Black,HL Road Front Wheel,Wheels,Components,,,,,,
422,17,LL Road Rear Wheel,Black,LL Road Rear Wheel,Wheels,Components,,,,,,
423,17,ML Road Rear Wheel,Black,ML Road Rear Wheel,Wheels,Components,,,,,,
424,17,HL Road Rear Wheel,Black,HL Road Rear Wheel,Wheels,Components,,,,,,
493,16,"LL Touring Frame - Yellow, 62",Yellow,LL Touring Frame,Touring Frames,Components,,,,,,
501,9,Rear Derailleur,Silver,Rear Derailleur,Derailleurs,Components,,,,,,
506,16,"LL Touring Frame - Yellow, 44",Yellow,LL Touring Frame,Touring Frames,Components,,,,,,
507,16,"LL Touring Frame - Yellow, 50",Yellow,LL Touring Frame,Touring Frames,Components,,,,,,
508,16,"LL Touring Frame - Yellow, 54",Yellow,LL Touring Frame,Touring Frames,Components,,,,,,
509,16,"LL Touring Frame - Yellow, 58",Yellow,LL Touring Frame,Touring Frames,Components,,,,,,
542,13,LL Mountain Pedal,Silver/Black,LL Mountain Pedal,Pedals,Components,,,,,,
543,13,ML Mountain Pedal,Silver/Black,ML Mountain Pedal,Pedals,Components,,,,,,
544,13,HL Mountain Pedal,Silver/Black,HL Mountain Pedal,Pedals,Components,,,,,,
545,13,LL Road Pedal,Silver/Black,LL Road Pedal,Pedals,Components,,,,,,
546,13,ML Road Pedal,Silver/Black,ML Road Pedal,Pedals,Components,,,,,,
547,13,HL Road Pedal,Silver/Black,HL Road Pedal,Pedals,Components,,,,,,
310,2,"Road-150 Red, 62",Red,Road-150,Road Bikes,Bikes,,,,,,
311,2,"Road-150 Red, 44",Red,Road-150,Road Bikes,Bikes,,,,,,
312,2,"Road-150 Red, 48",Red,Road-150,Road Bikes,Bikes,,,,,,
313,2,"Road-150 Red, 52",Red,Road-150,Road Bikes,Bikes,,,,,,
314,2,"Road-150 Red, 56",Red,Road-150,Road Bikes,Bikes,,,,,,
315,2,"Road-450 Red, 58",Red,Road-450,Road Bikes,Bikes,,,,,,
316,2,"Road-450 Red, 60",Red,Road-450,Road Bikes,Bikes,,,,,,
317,2,"Road-450 Red, 44",Red,Road-450,Road Bikes,Bikes,,,,,,
318,2,"Road-450 Red, 48",Red,Road-450,Road Bikes,Bikes,,,,,,
319,2,"Road-450 Red, 52",Red,Road-450,Road Bikes,Bikes,,,,,,
320,2,"Road-650 Red, 58",Red,Road-650,Road Bikes,Bikes,,,,,,
321,2,"Road-650 Red, 58",Red,Road-650,Road Bikes,Bikes,,,,,,
322,2,"Road-650 Red, 60",Red,Road-650,Road Bikes,Bikes,,,,,,
323,2,"Road-650 Red, 60",Red,Road-650,Road Bikes,Bikes,,,,,,
324,2,"Road-650 Red, 62",Red,Road-650,Road Bikes,Bikes,,,,,,
325,2,"Road-650 Red, 62",Red,Road-650,Road Bikes,Bikes,,,,,,
326,2,"Road-650 Red, 44",Red,Road-650,Road Bikes,Bikes,,,,,,
327,2,"Road-650 Red, 44",Red,Road-650,Road Bikes,Bikes,,,,,,
328,2,"Road-650 Red, 48",Red,Road-650,Road Bikes,Bikes,,,,,,
329,2,"Road-650 Red, 48",Red,Road-650,Road Bikes,Bikes,,,,,,
330,2,"Road-650 Red, 52",Red,Road-650,Road Bikes,Bikes,,,,,,
331,2,"Road-650 Red, 52",Red,Road-650,Road Bikes,Bikes,,,,,,
332,2,"Road-650 Black, 58",Black,Road-650,Road Bikes,Bikes,,,,,,
333,2,"Road-650 Black, 58",Black,Road-650,Road Bikes,Bikes,,,,,,
334,2,"Road-650 Black, 60",Black,Road-650,Road Bikes,Bikes,,,,,,
335,2,"Road-650 Black, 60",Black,Road-650,Road Bikes,Bikes,,,,,,
336,2,"Road-650 Black, 62",Black,Road-650,Road Bikes,Bikes,,,,,,
337,2,"Road-650 Black, 62",Black,Road-650,Road Bikes,Bikes,,,,,,
338,2,"Road-650 Black, 44",Black,Road-650,Road Bikes,Bikes,,,,,,
339,2,"Road-650 Black, 44",Black,Road-650,Road Bikes,Bikes,,,,,,
340,2,"Road-650 Black, 48",Black,Road-650,Road Bikes,Bikes,,,,,,
341,2,"Road-650 Black, 48",Black,Road-650,Road Bikes,Bikes,,,,,,
342,2,"Road-650 Black, 52",Black,Road-650,Road Bikes,Bikes,,,,,,
343,2,"Road-650 Black, 52",Black,Road-650,Road Bikes,Bikes,,,,,,
344,1,"Mountain-100 Silver, 38",Silver,Mountain-100,Mountain Bikes,Bikes,,,,,,
345,1,"Mountain-100 Silver, 42",Silver,Mountain-100,Mountain Bikes,Bikes,,,,,,
346,1,"Mountain-100 Silver, 44",Silver,Mountain-100,Mountain Bikes,Bikes,,,,,,
347,1,"Mountain-100 Silver, 48",Silver,Mountain-100,Mountain Bikes,Bikes,,,,,,
348,1,"Mountain-100 Black, 38",Black,Mountain-100,Mountain Bikes,Bikes,,,,,,
